fecha	hora	demanda
2020-01-11	5	8016,255428690901
2020-01-11	6	8009,243276096
2020-01-11	7	7961,784913779599
2020-01-11	8	7897,029408080893
2020-01-11	9	8258,564333844197
2020-01-11	10	8629,529272033102
2020-01-11	11	8923,210932836391
2020-01-11	12	9176,835546764496
2020-01-11	13	9282,896261821792
2020-01-11	14	9306,90630227089
2020-01-11	15	9257,496934899706
2020-01-11	16	9174,408606025092
2020-01-11	17	9084,955286033399
2020-01-11	18	9065,639111968494
2020-01-11	19	9051,8967486211
2020-01-11	20	8893,600457361
2020-01-11	21	8891,191024357597
2020-01-11	22	9193,0748496142
2020-01-11	23	9065,3096406598
2020-01-11	24	8698,868962731494
2020-01-12	1	8320,478650139896
2020-01-12	2	7962,1884864421
2020-01-12	3	7683,464256845198
2020-01-12	4	7540,9488264281
2020-01-12	5	7390,093619717298
2020-01-12	6	7296,794765651996
2020-01-12	7	7230,671089332899
2020-01-12	8	7077,064677811801
2020-01-12	9	7277,0262712900985
2020-01-12	10	7643,347148393004
2020-01-12	11	8021,066220148009
2020-01-12	12	8299,517157319095
2020-01-12	13	8477,108840410297
2020-01-12	14	8638,254853650498
2020-01-12	15	8603,320743208198
2020-01-12	16	8528,144921679397
2020-01-12	17	8421,2734679567
2020-01-12	18	8381,770055709198
2020-01-12	19	8403,8696010521
2020-01-12	20	8430,770570528795
2020-01-12	21	8561,418057781295
2020-01-12	22	9047,687112982596
2020-01-12	23	9052,5819211412
2020-01-12	24	8667,3530725472
2020-01-13	1	8313,311262327901
2020-01-13	2	8005,790961100598
2020-01-13	3	7726,196358292001
2020-01-13	4	7618,008319158495
2020-01-13	5	7587,870939584197
2020-01-13	6	7735,060179104699
2020-01-13	7	7959,039983519402
2020-01-13	8	8213,393242845501
2020-01-13	9	8875,3253504419
2020-01-13	10	9475,664317217304
2020-01-13	11	9757,946913235399
2020-01-13	12	9983,4071425916
2020-01-13	13	10141,54311526461
2020-01-13	14	10276,6107895429
2020-01-13	15	10431,8773336638
2020-01-13	16	10541,200807068602
2020-01-13	17	10553,709334780298
2020-01-13	18	10382,8654798351
2020-01-13	19	10026,144357717494
2020-01-13	20	9799,251301187402
2020-01-13	21	9655,125526553902
2020-01-13	22	9971,710600101198
2020-01-13	23	10007,9795509265
2020-01-13	24	9415,153825487398
2020-01-14	1	8878,140914695196
2020-01-14	2	8429,628871351904
2020-01-14	3	8214,481186478899
2020-01-14	4	8063,954903079598
2020-01-14	5	7989,961596937198
2020-01-14	6	8028,977196894504
2020-01-14	7	8218,778202750998
2020-01-14	8	8406,631675847104
2020-01-14	9	9024,5875922476
2020-01-14	10	9524,755915596004
2020-01-14	11	9831,689868971092
2020-01-14	12	10038,686276607807
2020-01-14	13	10167,451181168903
2020-01-14	14	10230,250039115102
2020-01-18	3	8473,540765130101
2020-01-18	4	8253,610900412703
2020-01-18	5	8155,055761699997
2020-01-14	15	10330,764969245698
2020-01-18	6	8099,683968223502
2020-01-14	16	10402,178636864403
2020-01-18	7	8071,245406365801
2020-01-14	17	10318,892892645905
2020-01-18	8	8028,913115149396
2020-01-18	9	8406,625470060306
2020-01-14	18	10093,639175679098
2020-01-18	10	8868,8479654529
2020-01-14	19	9783,791255119091
2020-01-18	11	9155,037231283402
2020-01-14	20	9595,366650899301
2020-01-18	12	9375,6952315947
2020-01-14	21	9593,489101690706
2020-01-18	13	9484,671882121911
2020-01-14	22	9903,207457518598
2020-01-18	14	9575,25583653949
2020-01-14	23	9783,578622376399
2020-01-18	15	9561,575433824206
2020-01-14	24	9438,629594999305
2020-01-18	16	9405,136834437502
2020-01-15	1	8907,063828116603
2020-01-18	17	9314,859210390594
2020-01-15	2	8444,467176551898
2020-01-18	18	9212,608848027801
2020-01-15	3	8182,338574723201
2020-01-18	19	9102,138943210304
2020-01-18	20	9047,269830638197
2020-01-15	4	8059,718032390297
2020-01-15	5	8003,037572448501
2020-01-18	21	9091,673877191197
2020-01-15	6	8082,0123351
2020-01-18	22	9447,889111911796
2020-01-15	7	8249,7475359621
2020-01-18	23	9346,095897084206
2020-01-18	24	8979,654486526299
2020-01-15	8	8419,488200614396
2020-01-15	9	8936,867206962894
2020-01-19	1	8584,8339618557
2020-01-19	2	8204,1839694194
2020-01-19	3	7867,0110853003
2020-01-19	4	7681,445475043803
2020-01-15	10	9352,480259054104
2020-01-19	5	7567,873429042596
2020-01-15	11	9637,079700387707
2020-01-19	6	7484,6112884737
2020-01-15	12	9855,039460703396
2020-01-19	7	7477,1342477049
2020-01-15	13	9909,148725330493
2020-01-19	8	7078,485988638102
2020-01-15	14	10007,293217903998
2020-01-19	9	7163,595299000999
2020-01-15	15	10120,4276871837
2020-01-15	16	10172,846764163814
2020-01-19	10	7600,398410197603
2020-01-15	17	10102,961150850006
2020-01-19	11	7921,687516934401
2020-01-19	12	8152,5035587944985
2020-01-15	18	9929,209317435298
2020-01-19	13	8396,630228203105
2020-01-19	14	8563,537932459605
2020-01-19	15	8543,990386623405
2020-01-19	16	8473,360881171497
2020-01-19	17	8422,281390890314
2020-01-15	19	9631,2561475562
2020-01-19	18	8397,620755034204
2020-01-15	20	9420,213335832392
2020-01-19	19	8437,448049169998
2020-01-19	20	8487,369453604299
2020-01-15	21	9457,307642749094
2020-01-19	21	8600,035915821994
2020-01-15	22	9881,077277685103
2020-01-19	22	9061,2421052285
2020-01-19	23	9122,049483312194
2020-01-15	23	9708,523981418793
2020-01-19	24	8812,200888400204
2020-01-15	24	9280,047727309795
2020-01-20	1	8499,612974400501
2020-01-20	2	8106,5247410627035
2020-01-16	1	8816,3593428769
2020-01-20	3	7797,775940272003
2020-01-16	2	8337,281510060799
2020-01-20	4	7685,283393417697
2020-01-16	3	8105,902304677403
2020-01-20	5	7635,4623835217
2020-01-16	4	7948,1486282388005
2020-01-20	6	7694,922949732802
2020-01-16	5	7932,685676747108
2020-01-20	7	7944,399976468399
2020-01-16	6	8066,5813669268
2020-01-20	8	8253,587926929304
2020-01-16	7	8215,9059247961
2020-01-20	9	8879,656269942896
2020-01-16	8	8348,346916122704
2020-01-20	10	9495,005262920009
2020-01-20	11	9836,340763640801
2020-01-16	9	8937,305781573306
2020-01-20	12	10039,055246409098
2020-01-16	10	9378,463034061397
2020-01-20	13	10127,3071682967
2020-01-16	11	9670,887523469204
2020-01-20	14	10218,345216628844
2020-01-16	12	9863,455839364302
2020-01-20	15	10410,873617990577
2020-01-20	16	10404,175692798364
2020-01-20	17	10454,752880879858
2020-01-16	13	9995,959672641595
2020-01-20	18	10307,277402677582
2020-01-16	14	10104,117435526996
2020-01-20	19	9923,8979128859
2020-01-16	15	10318,302419558702
2020-01-20	20	9743,331408703893
2020-01-16	16	10383,7884765917
2020-01-20	21	9738,199590271515
2020-01-16	17	10308,845880321502
2020-01-20	22	10075,911461436403
2020-01-16	18	10144,819749634906
2020-01-20	23	9895,916925342597
2020-01-16	19	9901,334280493104
2020-01-20	24	9418,432848100509
2020-01-21	1	8914,363743414297
2020-01-21	2	8471,385466524102
2020-01-16	20	9713,596120093907
2020-01-21	3	8221,059289970497
2020-01-21	4	8072,292174458898
2020-01-21	5	8047,955109035999
2020-01-16	21	9664,370904971203
2020-01-21	6	8150,483051888904
2020-01-21	7	8398,279220579063
2020-01-16	22	10010,7739560694
2020-01-21	8	8573,173588231597
2020-01-16	23	9920,288925726798
